CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;Condition;Observer;Gender;IM01_01;IM01_02_i;IM01_03;IM01_04;IM01_05;IM01_06_i;IM01_07;IM01_08;IM01_09_i;IM01_10;IM01_11;IM01_12;IM01_13_i;IM01_14;IM01_15;IM01_16;IM01_17;IM01_18_i;IM01_19;IM01_20;IM01_21;IM01_22;GP01_01;GP02_01;GP02_02;GP02_03;GP02_04;GP02_05;GP02_06;GP02_07;GP02_08;GP02_09;GP03_01;TIME001;TIME002;TIME003;TIME004;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
15;;;base;interview;20.01.2017 11:52;game;TMM90W;1;3;6;5;6;6;3;5;5;5;5;5;6;7;4;3;4;4;5;6;1;5;4;1;1;1;1;1;6;7;2;1;1;1;2688;7;3588;76;0;;20.01.2017 13:38;1;0;4;4;0;0;;100
23;;;base;interview;26.01.2017 08:52;experiment;VEH1985w;1;3;4;4;3;4;2;3;2;2;3;3;3;2;5;2;2;4;2;3;2;4;3;1;4;4;6;4;6;4;4;4;4;4;16;5731;99;74;189;;26.01.2017 10:30;1;0;4;4;0;0;0,64;1
24;;;base;interview;27.01.2017 08:48;experiment;CEN2000w;1;2;5;6;3;5;3;2;4;3;5;4;2;7;3;3;2;5;5;4;2;3;5;1;1;1;1;1;4;4;5;4;1;1;1566;20;3411;42;152;;27.01.2017 10:12;1;0;4;4;0;0;0,35;0
25;;;base;interview;27.01.2017 10:16;game;YWH1992w;1;5;3;5;4;6;1;4;5;2;6;4;4;5;6;4;4;6;5;6;5;6;5;2;2;2;2;6;6;2;5;2;1;3;3;7391;142;74;219;;27.01.2017 12:23;1;0;4;4;0;0;0,94;8
26;;;base;interview;31.01.2017 14:32;experiment;IDK1985w;1;2;3;6;2;3;2;2;3;4;2;6;2;5;3;3;2;3;3;3;2;5;3;1;1;5;1;5;7;7;1;7;1;3;5;4551;108;50;163;;31.01.2017 15:51;1;0;4;4;0;0;0,91;0
27;;;base;interview;01.02.2017 10:21;experiment;AKB1996w;1;2;7;7;3;4;3;2;3;4;2;7;3;7;4;4;3;3;5;7;1;7;5;1;1;1;5;1;5;1;3;5;1;3;3;4082;75;35;113;;01.02.2017 11:31;1;0;4;4;0;0;1,37;19
28;;;base;interview;02.02.2017 09:48;game;SSF1993w;1;1;5;3;1;1;3;1;1;5;1;6;4;7;1;5;2;1;6;3;1;5;3;1;1;3;5;1;7;5;3;4;4;2;5185;3339;141;68;214;;02.02.2017 12:13;1;0;4;4;0;0;0,46;0
29;;;base;interview;20.02.2017 08:59;experiment;SGS1995w;1;3;3;6;4;4;4;3;3;4;2;3;4;7;2;2;4;4;7;3;1;6;6;2;1;1;3;1;5;2;1;3;1;2;4;5630;130;64;198;;20.02.2017 10:36;1;0;4;4;0;0;0,87;2
30;;;base;interview;22.02.2017 13:28;game;ARF1995w;1;2;5;1;4;5;6;5;5;6;3;1;5;7;6;2;4;3;7;1;4;1;5;1;1;4;7;1;7;3;2;7;2;5;1288;5033;98;47;150;;22.02.2017 15:16;1;0;4;4;0;0;0,66;1
31;;;base;interview;23.02.2017 08:48;game;GHA1996m;2;3;4;6;5;4;4;5;4;3;4;6;3;6;4;5;4;3;7;7;2;7;5;1;1;2;2;2;3;3;4;5;1;1;5;4642;102;45;152;;23.02.2017 10:08;1;0;4;4;0;0;0,96;0
37;;;base;interview;02.03.2017 10:22;game;RHN1998w;1;3;6;5;3;5;2;4;7;3;6;5;5;7;6;3;2;5;7;5;5;5;6;2;1;1;6;1;6;3;1;7;5;4;4;7631;107;49;160;;02.03.2017 12:31;1;0;4;4;0;0;0,99;2
39;;;base;interview;13.03.2017 15:21;experiment;BKF1975w;1;1;5;5;1;2;2;2;1;1;1;5;5;4;2;2;2;1;3;3;1;3;5;1;1;1;2;1;2;1;1;1;1;1;1478;12;4352;44;154;;13.03.2017 16:59;1;0;4;4;0;0;0,33;0
40;;;base;interview;16.03.2017 08:54;experiment;KTS1993w;1;1;6;4;3;3;3;2;1;2;1;2;5;7;2;4;4;2;2;2;1;2;4;2;1;4;7;4;7;4;3;6;4;4;22;4411;96;38;156;;16.03.2017 10:10;1;0;4;4;0;0;0,81;4
42;;;base;interview;24.03.2017 10:22;game;SRA1971w;1;5;5;5;3;4;6;2;5;4;5;6;3;7;5;3;3;5;5;5;5;6;5;2;2;2;2;4;4;2;2;4;4;3;2;17;205;92;150;;24.03.2017 10:27;1;0;4;4;0;0;1,08;21
43;;;base;interview;24.03.2017 10:29;game;SBS1992w;1;2;6;5;4;5;6;4;5;6;5;7;6;7;3;5;4;5;7;6;4;3;5;1;1;1;3;1;5;4;1;5;1;1;3;4542;96;40;139;;24.03.2017 11:47;1;0;4;4;0;0;1,22;11
44;;;base;interview;28.03.2017 11:59;experiment;ABH1987w;1;2;6;7;3;5;5;2;5;5;5;6;6;7;3;3;3;5;7;6;5;6;5;1;1;1;1;1;5;5;1;2;1;5;3;4921;243;73;181;;28.03.2017 13:26;1;0;4;4;0;0;0,84;8
47;;;base;interview;24.04.2017 14:11;experiment;AAF1997w;1;2;4;4;4;5;3;4;2;2;2;2;3;3;4;5;4;5;3;3;2;2;5;5;5;5;6;6;7;5;3;5;7;5;4;4847;129;40;173;;24.04.2017 15:35;1;0;4;4;0;0;1;3
48;;;base;interview;24.04.2017 15:40;game;ACR1994m;2;7;7;7;4;7;3;5;6;2;4;1;7;7;2;5;5;1;1;3;7;4;2;7;6;6;1;4;2;7;5;7;7;7;3;5794;122;41;166;;24.04.2017 17:20;1;0;4;4;0;0;1,14;9
49;;;base;interview;26.04.2017 11:33;game;HMH1987w;1;4;6;7;4;3;4;5;4;4;4;7;7;7;4;7;4;4;5;7;4;7;7;1;1;1;1;1;2;2;1;3;1;1;145;7316;109;42;156;;26.04.2017 13:40;1;0;4;4;0;0;0,67;0
50;;;base;interview;27.04.2017 08:24;experiment;SMS1997w;1;4;3;6;4;3;3;3;2;6;2;7;6;6;3;4;2;2;7;6;3;7;4;2;2;3;5;2;6;4;1;5;4;2;40;4366;113;60;213;;27.04.2017 09:40;1;0;4;4;0;0;0,58;0
51;;;base;interview;28.04.2017 08:11;game;TKD1994w;1;6;7;7;2;7;2;1;5;7;4;5;4;6;5;7;1;6;7;6;1;6;7;1;1;1;7;1;7;7;1;7;1;1;255;4516;73;29;107;;28.04.2017 09:33;1;0;4;4;0;0;0,98;15
52;;;base;interview;28.04.2017 09:39;experiment;UGB1995w;1;2;6;6;2;3;4;2;5;5;4;6;2;5;4;2;3;2;6;5;3;5;4;2;1;1;5;1;5;1;1;4;1;3;3;6185;65;42;110;;28.04.2017 11:24;1;0;4;4;0;0;1,38;19
53;;;base;interview;28.04.2017 11:27;game;UWB1993w;1;1;2;2;1;3;4;2;2;3;2;2;2;6;5;2;1;2;3;3;2;2;2;1;1;1;4;1;4;1;3;5;1;1;4;5530;82;41;127;;28.04.2017 13:01;1;0;4;4;0;0;1,15;7
54;;;base;interview;28.04.2017 13:12;experiment;WPM1996w;1;3;6;6;6;3;7;6;4;7;3;5;7;6;3;4;6;3;5;5;2;5;7;2;1;2;7;1;7;4;3;5;2;5;16;7921;95;42;153;;28.04.2017 15:27;1;0;4;4;0;0;0,8;2
55;;;base;interview;28.04.2017 15:29;game;IRN1996w;1;5;2;3;2;7;3;2;6;3;6;5;5;7;7;2;2;7;5;5;6;7;3;2;1;6;6;2;4;5;5;6;2;6;3;4085;83;47;133;;28.04.2017 16:40;1;0;4;4;0;0;1,22;13
56;;;base;interview;02.05.2017 09:52;experiment;PHS1997w;1;2;7;6;3;5;5;3;3;7;4;5;5;7;4;5;3;4;6;4;2;6;4;2;1;1;1;1;4;1;3;4;2;2;25;4563;87;42;154;;02.05.2017 11:11;1;0;4;4;0;0;0,8;4
58;;;base;interview;04.05.2017 13:51;game;MMM1993w;1;4;3;5;3;4;3;4;4;3;3;5;3;5;3;3;3;3;3;4;4;4;4;1;1;1;2;1;2;1;1;1;1;1;3;5044;77;24;104;;04.05.2017 15:16;1;0;4;4;0;0;1,55;27
60;;;base;interview;04.05.2017 17:11;experiment;PSK1994w;1;2;4;6;4;4;3;4;2;2;2;5;4;3;3;1;3;2;3;4;1;5;5;1;1;1;2;1;3;1;1;2;1;1;28;9447;111;45;184;;04.05.2017 19:52;1;0;4;4;0;0;0,69;0
